aboʁboʁ _aboRboR1
nɤboʁboʁ _n7boRboR1
boʁ boR1
abrɤlbrɤl _abr7lbr7l1
sɤbrabrɤl s7brabr7l
aβdɤβde _aBd7Bde1
βde _Bde1
sɤβdɤβde _s7Bd7Bde
aβdoʁβdi _aBdoRBdi1
βdi _Bdi1
ɣɤβdi _G7Bdi1
aβdoʁdi aBdoRdi1
aβraʁ aBraR1
βraʁ _BraR1
aβrdaβrdoŋ _aBrdaBrdoN1
jpumqa _jpumqa1
aβʁum aBRum1
βʁum _BRum1
aβzdoʁβzdɯ aBzdoRBzdM1
βzdɯ _BzdM1
aβzu _aBzu1
βzu1 _Bzu1
aβzɯrχsɯm _aBzMrXsMm
aβʑɯrdu _aBz\Mrdu
acɤrlu _ac7rlu1
sɤcɤrlu s7c7rlu
achala _achala1
achɤle ach7le
achale _achale
achɤt _ach7t1
achɯcha _achMcha
achɯrʁu _achMrRu1
sɤchɯrʁu _s7chMrRu
aci _aci1
sɤci _s7ci
acilaj _acilaj
acu acu1
cu _cu1
acɯfkri _acMfkri
aɕɤl _as\7l
aɕɤrɣi _as\7rGi1
sɤɕɤrɣi s7s\7rGi
aɕɣa _as\Ga1
tɯ-ɕɣa tM-s\Ga1
aɕi _as\i
sɤɕi s7s\i
aɕkala _as\kala1
aʑɤwu _az\7wu1
ɕkala s\kala1
aɕkho as\kho1
ɕkho _s\kho1
aɕoʁri _as\oRri1
aɕoχɕi _as\oXs\i1
sɤɕoχɕi _s7s\oXs\i
aɕpala _as\pala1
aphala _aphala
aɕprɯm _as\prMm1
aɕprɯmtsɯ _as\prMmtsM
sɤɕprɯm _s7s\prMm
aɕpɯɕpa _as\pMs\pa1
sɤɕpɯɕpa _s7s\pMs\pa
aɕqhe _as\qhe1
tɤ-ɕqhe t7-s\qhe
sɤɕqhe _s7s\qhe
aɕqhlu _as\qhlu1
aχchowolu _aXchowolu
aʁloʁlu _aRloRlu1
aqhowolu _aqhowolu1
asqhlu _asqhlu
arɴɢlɯm _arN\G\lMm1
aɕquwa _as\quwa1
ɕquwa s\quwa
aɕtɯɕte as\tMs\te1
ɕte _s\te1
adaʁlu _adaRlu
adrɤt _adr7t1
aphɤlɤjɤt _aph7l7j7t1
sɤdrɤt _s7dr7t
adʑɯgli _adz\Mgli1
glinɤgli glin7gli
afɕɤra _afs\7ra
sɤfɕɤra _s7fs\7ra
afɕɤt afs\7t1
fɕɤt1 _fs\7t1
afɕu _afs\u1
sɤfɕu _s7fs\u
ʑɣɤsɤfɕu _z\G7s7fs\u
afkrɤχsɤl _afkr7Xs7l
afsoʁŋgi _afsoRNgi
afsuja _afsuja
sɤfsuja _s7fsuja
afsujɯja _afsujMja1
afsɯfsu _afsMfsu1
ɯ-fsu M-fsu
aftɕaka _afts\aka1
aɣɤmphɯmphri _aG7mphMmphri
